gender,accuracy,precision,recall,f1,tpr,fpr_value,fnr_value,precision_value,demographic_parity
female,0.8194444444444444,0.818255029284441,0.830592105263158,0.8170874425357926,"[1.         1.         1.         0.73684211 0.78947368 0.75
 0.68421053 0.68421053]","[0.02985075 0.024      0.024      0.024      0.024      0.0483871
 0.016      0.016     ]","[0.         0.         0.         0.26315789 0.21052632 0.25
 0.31578947 0.31578947]","[0.71428571 0.86363636 0.86363636 0.82352941 0.83333333 0.71428571
 0.86666667 0.86666667]","{'neutral': 0.09722222222222222, 'calm': 0.1527777777777778, 'happy': 0.1527777777777778, 'sad': 0.11805555555555555, 'angry': 0.125, 'fearful': 0.14583333333333334, 'disgust': 0.10416666666666667, 'surprised': 0.10416666666666667}"
male,0.7777777777777778,0.7886562637241985,0.7723684210526316,0.7750837442526909,"[0.7        0.9        0.73684211 0.78947368 0.84210526 0.68421053
 0.89473684 0.63157895]","[0.02985075 0.04032258 0.008      0.08       0.         0.024
 0.008      0.064     ]","[0.3        0.1        0.26315789 0.21052632 0.15789474 0.31578947
 0.10526316 0.36842105]","[0.63636364 0.7826087  0.93333333 0.6        1.         0.8125
 0.94444444 0.6       ]","{'neutral': 0.0763888888888889, 'calm': 0.1597222222222222, 'happy': 0.10416666666666667, 'sad': 0.1736111111111111, 'angry': 0.1111111111111111, 'fearful': 0.1111111111111111, 'disgust': 0.125, 'surprised': 0.1388888888888889}"
